area,bbox_xyxy,mean_score,peak_score,component_score,scene,camera,image_name,frame_idx,depth_source,mask_source,flow_source,local_component_rank,depth_edge_mean,temporal_depth_mean,confidence_edge_mean,low_confidence_mean,occlusion_gate_mean,mask_boundary_mean,flow_valid_boundary_mean,flow_mag_boundary_mean,dynamic_boundary_mean,static_delta_boundary_mean,flicker_boundary_mean,component_id
32,"[384, 160, 480, 256]",0.9957611560821533,1.0,0.9966089248657226,cut_roasted_beef,cam00,cam00_0062,62,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0062.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0062.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0062.npz,0,0.18464840948581696,0.5087292790412903,0.33076995611190796,0.46884748339653015,0.3689141869544983,0.02890305034816265,0.03311041742563248,0.8268384337425232,0.6567376255989075,0.7320705652236938,0.047319769859313965,cut_roasted_beef_depth_001_cam00_0062
12,"[416, 144, 512, 240]",0.9935685992240906,1.0,0.9948548793792724,cut_roasted_beef,cam00,cam00_0293,293,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0293.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0293.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0293.npz,0,0.1819639503955841,0.4353122413158417,0.2823939621448517,0.4734727144241333,0.385798841714859,0.04550785943865776,0.05165844038128853,0.6687382459640503,0.6660393476486206,0.7425568699836731,0.055401887744665146,cut_roasted_beef_depth_002_cam00_0293
12,"[400, 160, 496, 256]",0.9925675988197327,1.0,0.9940540790557861,cut_roasted_beef,cam00,cam00_0044,44,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0044.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0044.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0044.npz,0,0.1817951798439026,0.41899728775024414,0.2980322241783142,0.447371244430542,0.37410181760787964,0.0317799337208271,0.05454699322581291,0.8353815674781799,0.6529796123504639,0.7288931012153625,0.04734311252832413,cut_roasted_beef_depth_003_cam00_0044
80,"[368, 160, 464, 256]",0.9858545064926147,1.0,0.9886836051940919,cut_roasted_beef,cam00,cam00_0062,62,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0062.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0062.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0062.npz,1,0.18464840948581696,0.5087292790412903,0.33076995611190796,0.46884748339653015,0.3689141869544983,0.02890305034816265,0.03311041742563248,0.8268384337425232,0.6567376255989075,0.7320705652236938,0.047319769859313965,cut_roasted_beef_depth_004_cam00_0062
19,"[288, 128, 384, 224]",0.9854730367660522,1.0,0.9883784294128419,cut_roasted_beef,cam00,cam00_0258,258,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0258.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0258.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0258.npz,0,0.1879161149263382,0.30346664786338806,0.2971084713935852,0.4858786463737488,0.39661023020744324,0.06646300852298737,0.06987383961677551,0.41701096296310425,0.6629232168197632,0.745357871055603,0.06711074709892273,cut_roasted_beef_depth_005_cam00_0258
38,"[288, 144, 384, 240]",0.9822943806648254,1.0,0.9858355045318603,cut_roasted_beef,cam00,cam00_0098,98,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0098.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0098.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0098.npz,0,0.15652143955230713,0.40434056520462036,0.3083626329898834,0.4578188955783844,0.3847945034503937,0.04372512549161911,0.0628158450126648,0.610844612121582,0.6637256145477295,0.7415823340415955,0.06086679920554161,cut_roasted_beef_depth_006_cam00_0098
42,"[368, 144, 464, 240]",0.9789232611656189,1.0,0.9831386089324952,cut_roasted_beef,cam00,cam00_0098,98,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0098.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0098.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0098.npz,1,0.15652143955230713,0.40434056520462036,0.3083626329898834,0.4578188955783844,0.3847945034503937,0.04372512549161911,0.0628158450126648,0.610844612121582,0.6637256145477295,0.7415823340415955,0.06086679920554161,cut_roasted_beef_depth_007_cam00_0098
9,"[272, 160, 368, 256]",0.9788769483566284,1.0,0.9831015586853027,cut_roasted_beef,cam00,cam00_0202,202,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0202.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0202.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0202.npz,0,0.18214727938175201,0.4668397605419159,0.2555481195449829,0.48503395915031433,0.37309253215789795,0.02464899607002735,0.036045655608177185,0.6773660182952881,0.6658992767333984,0.7544378638267517,0.05265338346362114,cut_roasted_beef_depth_008_cam00_0202
69,"[304, 160, 400, 256]",0.9788588285446167,1.0,0.9830870628356934,cut_roasted_beef,cam00,cam00_0050,50,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0050.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0050.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0050.npz,0,0.1799466460943222,0.30506789684295654,0.31038182973861694,0.46917542815208435,0.379940003156662,0.04615851491689682,0.05421729013323784,0.8304214477539062,0.6529445648193359,0.7279303073883057,0.05887690559029579,cut_roasted_beef_depth_009_cam00_0050
31,"[288, 144, 384, 240]",0.9771663546562195,1.0,0.9817330837249756,cut_roasted_beef,cam00,cam00_0135,135,/leonardo_work/EUHPC_D21_034/proj_adags/repo/adags/refine-logs/depth_occlusion_support/r031_da3_depth_full/depth_npz/cut_roasted_beef/cam00_0135.npz,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/motion_priors/masks/cam00_0135.png,/leonardo_work/EUHPC_D21_034/proj_adags/data/n3v/cut_roasted_beef/flow/cam00_0135.npz,0,0.18254435062408447,0.3773435056209564,0.2833506762981415,0.4952137768268585,0.3824135363101959,0.05328945070505142,0.03208046033978462,0.7261242270469666,0.6648664474487305,0.7430353760719299,0.06192301958799362,cut_roasted_beef_depth_010_cam00_0135
